FL_DATE,OP_CARRIER,ORIGIN,DEST,ARR_DELAY,DEP_DELAY,CANCELLED,DISTANCE
2017-12-22,DL,SEA,JFK,-7.0,36.0,0.0,2422.0
2017-02-15,OO,SFO,MSP,22.0,36.0,0.0,1589.0
2017-01-02,WN,BWI,RDU,39.0,36.0,0.0,255.0
2017-04-23,WN,PIT,MDW,30.0,36.0,0.0,402.0
2017-03-02,WN,ONT,SJC,25.0,36.0,0.0,333.0
2017-10-05,DL,AUS,ATL,36.0,36.0,0.0,813.0
2017-05-21,UA,SFO,SEA,31.0,36.0,0.0,679.0
2017-02-26,EV,DCA,CLE,50.0,36.0,0.0,310.0
2017-12-28,WN,BUR,SFO,26.0,36.0,0.0,326.0
2017-07-11,UA,IAH,PDX,24.0,36.0,0.0,1825.0
2017-04-09,DL,ATL,ABQ,23.0,37.0,0.0,1269.0
2017-08-06,WN,MCO,BUF,15.0,37.0,0.0,1011.0
2017-09-02,DL,STL,ATL,40.0,37.0,0.0,484.0
2017-12-30,AA,ORD,JAC,,37.0,0.0,1162.0
2017-07-28,DL,LGA,DTW,12.0,37.0,0.0,502.0
2017-04-24,AA,AUS,LAX,45.0,37.0,0.0,1242.0
2017-09-15,WN,DEN,IND,29.0,37.0,0.0,977.0
2017-08-23,OO,RAP,DEN,24.0,37.0,0.0,300.0
2017-03-15,UA,LAX,EWR,43.0,37.0,0.0,2454.0
2017-06-20,WN,BWI,BUF,33.0,37.0,0.0,281.0
2017-08-25,OO,SMF,SFO,33.0,37.0,0.0,86.0
2017-06-11,UA,SNA,IAH,22.0,37.0,0.0,1346.0
2017-08-01,UA,IAH,EWR,18.0,37.0,0.0,1400.0
2017-07-23,UA,SFO,ORD,36.0,38.0,0.0,1846.0
2017-06-20,AA,STL,MIA,26.0,38.0,0.0,1068.0
2017-08-02,AA,IND,DFW,34.0,38.0,0.0,761.0
2017-06-22,AS,FLL,SEA,38.0,38.0,0.0,2717.0
2017-08-04,B6,PDX,LGB,31.0,38.0,0.0,846.0
2017-11-04,AA,STL,DFW,26.0,38.0,0.0,550.0
2017-04-09,WN,DEN,JAX,30.0,38.0,0.0,1447.0
2017-11-12,WN,HOU,MSY,27.0,38.0,0.0,302.0
2017-06-14,F9,LAS,AUS,32.0,38.0,0.0,1090.0
2017-03-02,WN,OAK,SAN,27.0,38.0,0.0,446.0
2017-07-14,WN,LAS,LIT,33.0,38.0,0.0,1294.0
2017-03-22,AA,CLT,BOS,34.0,38.0,0.0,728.0
2017-03-09,UA,ORD,SEA,48.0,39.0,0.0,1721.0
2017-06-25,B6,JAX,DCA,23.0,39.0,0.0,634.0
