MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,DEST,DEP_DELAY,CRS_ELAPSED_TIME,DISTANCE,CRS_DEP_M,DEP_TIME_M,CRS_ARR_M,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,sch_dep,sch_arr,TAXI_OUT,Condition
11,1,5,3,10,0,124,636,324,323,448,48,30,58,15,25,38,29.86,9,17,14,3
11,1,5,3,28,0,371,2475,340,333,531,48,30,58,15,25,38,29.86,9,17,15,3
11,1,5,3,20,1,181,1069,301,341,482,48,30,58,15,25,38,29.86,9,17,22,3
11,1,5,3,30,0,168,944,345,343,513,48,30,58,15,25,38,29.86,9,17,12,3
11,1,5,4,1,0,139,760,360,356,499,46,28,58,15,24,35,29.91,9,17,13,3
11,1,5,1,36,0,161,740,359,358,460,46,28,58,15,24,35,29.91,9,17,21,3
11,1,5,1,28,0,373,2475,360,359,553,46,28,58,15,24,35,29.91,9,17,26,3
11,1,5,3,7,0,80,301,365,360,445,46,28,58,15,24,35,29.91,17,21,11,3
11,1,5,3,29,0,368,2465,365,365,553,46,28,58,15,24,35,29.91,17,21,25,3
11,1,5,3,20,0,184,1069,370,373,554,46,28,58,15,24,35,29.91,17,21,29,3
11,1,5,3,27,0,343,2248,381,376,544,46,28,58,15,24,35,29.91,17,21,26,3
11,1,5,1,15,0,95,213,384,379,479,46,28,58,15,24,35,29.91,17,21,30,3
11,1,5,1,42,0,336,2153,390,386,546,46,28,58,15,24,35,29.91,17,21,24,3
11,1,5,3,56,0,388,2586,410,407,618,46,28,58,15,24,35,29.91,17,21,17,3
11,1,5,3,58,1,222,1598,301,409,523,46,28,58,15,24,35,29.91,17,21,16,3
11,1,5,4,56,0,391,2586,420,414,631,47,29,59,15,24,29,30.0,17,21,16,3
11,1,5,4,59,0,321,1990,419,414,620,47,29,59,15,24,29,30.0,17,21,25,3
11,1,5,4,4,0,82,187,420,415,502,47,29,59,15,24,29,30.0,17,21,15,3
11,1,5,1,56,0,386,2586,420,417,626,47,29,59,15,24,29,30.0,17,21,18,3
11,1,5,3,54,0,143,718,419,417,562,47,29,59,15,24,29,30.0,17,21,14,3
11,1,5,3,63,0,73,209,420,417,493,47,29,59,15,24,29,30.0,17,21,21,3
11,1,5,3,1,0,154,760,418,418,572,47,29,59,15,24,29,30.0,17,21,16,3
11,1,5,4,32,0,187,1029,420,418,547,47,29,59,15,24,29,30.0,17,21,34,3
11,1,5,3,28,0,379,2475,425,418,624,47,29,59,15,24,29,30.0,17,21,15,3
11,1,5,4,28,0,365,2475,420,419,605,47,29,59,15,24,29,30.0,17,21,23,3
11,1,5,4,55,0,373,2422,425,423,618,47,29,59,15,24,29,30.0,30,26,24,3
